,Carrier,Dep Arpt,Arr Arpt,Gate Time,Dir,Slack,Gate Dep Dly,Gate Arr Dly,Carrier Delay
4,FFT,DEN,LAX,22:02,Out,3,37,44,0
4,FFT,DEN,SMF,22:10,Out,4,50,48,0
4,FFT,DEN,PHX,22:11,Out,5,56,60,0
4,FFT,DEN,MSP,22:22,Out,6,167,149,0
4,FFT,PDX,DEN,22:33,In,5,20,21,0
4,FFT,SFO,DEN,22:49,In,4,29,36,0
4,FFT,SNA,DEN,23:01,In,3,0,0,0
4,FFT,LAX,DEN,23:24,In,2,8,5,0
4,FFT,SEA,DEN,23:39,In,1,90,77,0
5,JBU,BOS,DEN,0:03,In,0,16,19,9
5,JBU,DEN,JFK,0:59,Out,1,4,8,0
5,JBU,BOS,DEN,12:44,In,0,75,101,75
5,JBU,DEN,BOS,13:31,Out,1,96,72,0
5,JBU,JFK,DEN,21:58,In,0,0,0,0
5,JBU,DEN,BOS,23:06,Out,1,0,0,0
6,NKS,DEN,FLL,1:22,Out,1,36,13,0
6,NKS,DFW,DEN,7:00,In,0,0,11,0
6,NKS,DEN,DFW,7:32,Out,1,2,19,0
6,NKS,LAS,DEN,10:56,In,0,4,0,0
6,NKS,DEN,LAS,11:41,Out,1,0,0,0
6,NKS,ORD,DEN,15:04,In,0,141,144,0
6,NKS,DEN,ORD,15:43,Out,1,138,137,0
6,NKS,DFW,DEN,17:45,In,0,0,10,0
6,NKS,DEN,LAS,18:20,Out,1,5,3,0
6,NKS,LAS,DEN,19:52,In,0,0,0,0
6,NKS,DEN,DFW,20:37,Out,1,0,0,0
6,NKS,FLL,DEN,23:43,In,0,0,0,0
7,SWA,DEN,ATL,5:58,Out,10,0,0,0
7,SWA,DEN,BWI,6:05,Out,11,0,0,0
7,SWA,DEN,LAS,6:06,Out,12,0,0,0
7,SWA,DEN,MDW,6:07,Out,13,7,28,7
7,SWA,DEN,HOU,6:09,Out,14,0,0,0
7,SWA,DEN,BNA,6:33,Out,15,0,0,0
7,SWA,DEN,LAS,7:01,Out,16,0,0,0
7,SWA,MSP,DEN,7:07,In,15,1,0,0
7,SWA,OKC,DEN,7:07,In,14,0,2,0
7,SWA,ATL,DEN,7:22,In,13,0,0,0
7,SWA,DEN,SLC,7:33,Out,14,0,0,0
7,SWA,MCI,DEN,7:33,In,13,1,0,0
7,SWA,BOI,DEN,7:36,In,12,0,0,0
7,SWA,MDW,DEN,7:37,In,11,0,2,0
7,SWA,DEN,LAX,7:41,Out,12,1,0,0
7,SWA,STL,DEN,7:49,In,11,0,0,0
7,SWA,IND,DEN,7:50,In,10,6,0,0
7,SWA,OMA,DEN,7:50,In,9,2,0,0
7,SWA,CMH,DEN,7:52,In,8,0,2,0
7,SWA,DTW,DEN,7:53,In,7,1,3,0
7,SWA,SLC,DEN,7:53,In,6,0,0,0
7,SWA,PIT,DEN,8:07,In,5,1,7,0
7,SWA,PHL,DEN,8:12,In,4,2,0,0
7,SWA,DEN,PHX,8:14,Out,5,4,2,0
7,SWA,ABQ,DEN,8:19,In,4,0,0,0
7,SWA,DEN,MCO,8:21,Out,5,11,0,0
7,SWA,DEN,MDW,8:21,Out,6,106,100,0
7,SWA,DEN,MDW,8:22,Out,7,42,23,22
7,SWA,BNA,DEN,8:27,In,6,1,7,0
7,SWA,DEN,OAK,8:27,Out,7,2,1,0
7,SWA,DEN,SMF,8:29,Out,8,4,0,0
7,SWA,DEN,ONT,8:31,Out,9,6,6,0
7,SWA,DEN,PDX,8:33,Out,10,8,0,0
7,SWA,DEN,SAN,8:34,Out,11,4,0,0
7,SWA,DEN,BUR,8:37,Out,12,12,10,0
7,SWA,PHX,DEN,8:39,In,11,0,0,0
7,SWA,MHT,DEN,8:44,In,10,0,0,0
7,SWA,DEN,LAS,8:46,Out,11,1,0,0
7,SWA,DEN,SEA,8:51,Out,12,21,7,0
7,SWA,HOU,DEN,8:54,In,11,1,9,0
7,SWA,DEN,BOI,8:55,Out,12,0,0,0
7,SWA,DEN,ABQ,8:58,Out,13,0,0,0
7,SWA,DEN,SNA,9:00,Out,14,0,0,0
7,SWA,MSP,DEN,9:04,In,13,0,0,0
7,SWA,DEN,PHX,9:11,Out,14,1,0,0
7,SWA,DEN,MCI,9:13,Out,15,73,70,70
7,SWA,SFO,DEN,9:18,In,14,0,0,0
7,SWA,LAX,DEN,9:19,In,13,13,0,0
7,SWA,PVD,DEN,9:20,In,12,2,10,0
7,SWA,RNO,DEN,9:21,In,11,1,0,0
7,SWA,GEG,DEN,9:23,In,10,0,0,0
7,SWA,DEN,MKE,9:28,Out,11,13,0,0
7,SWA,DEN,SJC,9:28,Out,12,8,2,0
7,SWA,SEA,DEN,9:28,In,11,1,0,0
7,SWA,ONT,DEN,9:30,In,10,0,0,0
7,SWA,DEN,STL,9:31,Out,11,1,0,0
7,SWA,SMF,DEN,9:31,In,10,4,0,0
7,SWA,OAK,DEN,9:32,In,9,3,0,0
7,SWA,LAS,DEN,9:42,In,8,4,0,0
7,SWA,MDW,DEN,9:42,In,7,0,17,0
7,SWA,PDX,DEN,9:42,In,6,17,7,0
7,SWA,TUL,DEN,9:45,In,5,0,0,0
7,SWA,DEN,MDW,9:53,Out,6,13,7,0
7,SWA,DEN,PHX,9:55,Out,7,5,0,0
7,SWA,SJC,DEN,10:02,In,6,2,0,0
7,SWA,DEN,BWI,10:04,Out,7,0,6,0
7,SWA,DEN,AMA,10:13,Out,8,0,0,0
7,SWA,LGA,DEN,10:14,In,7,5,19,0
7,SWA,DEN,DTW,10:15,Out,8,0,4,0
7,SWA,DEN,IAD,10:15,Out,9,10,9,0
7,SWA,DEN,IND,10:16,Out,10,1,0,0
7,SWA,DEN,OMA,10:16,Out,11,1,4,0
7,SWA,ABQ,DEN,10:18,In,10,0,0,0
7,SWA,DEN,SFO,10:19,Out,11,114,107,0
7,SWA,DEN,MSP,10:20,Out,12,5,0,0
7,SWA,DEN,BOS,10:23,Out,13,0,0,0
7,SWA,DEN,FLL,10:24,Out,14,19,30,2
